agbd,agbd_se,agbd_pi_lower,agbd_pi_upper,sensitivity,se_ratio,pft_class,landsat_treecover,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDRE,NBR,NDMI,EVI,VV_mean,VH_mean,VV_std,VV_VH_ratio,HH_db,HV_db,HH_HV_db,elev,slope,northness,eastness
27.661791,7.21878719329834,0.7016929984092712,93.726097,0.9530779719352722,0.2609565749637605,4.0,0.0,622.9406173842402,975.205767668562,909.433062550772,1540.6138911454102,2811.572705117791,3264.1341998375306,3321.7229894394814,3495.802112103981,2617.036230706743,1625.5635255889522,0.5759552256331961,0.3675036552570537,0.3480003469739027,0.1225386097175902,1.5181889009751346,-10.550020076059756,-16.75403665923499,2.191882328232868,6.204016583175236,-10.261830989513896,-17.045243356006146,6.783412366492246,217.86222583265643,7.932098748914407,-0.7433839994136549,0.0029490670412683
19.57406997680664,7.224845886230469,0.0,78.285179,0.9686740040779114,0.3690840387692492,4.0,0.0,457.6673969490425,748.0787893541059,518.4355728659526,1248.3446932814022,2918.577977929244,3426.978740668614,3515.337796170075,3694.107432651738,2490.169344368712,1352.1492210321323,0.7418393017010227,0.4742058275012786,0.4437929979956081,0.1697694220662496,2.3518077928934487,-7.443233258645788,-13.663522791341112,2.233489536671467,6.220289532695324,-7.563778739834734,-15.30260188595494,7.738823146120207,226.33917559234024,11.28580794834309,-0.4486700228693069,-0.8773658896151061
17.87201499938965,7.226099014282227,8.936007499694824,74.849251,0.98124897480011,0.4043021848596329,4.0,45.0,323.1131078224102,592.2192226378273,321.1923890063426,1054.3388355830216,3370.587249959344,4174.531305903399,4176.411123759961,4513.570174012034,2142.9495852984223,974.9044560091072,0.8566628852799633,0.5960049292855825,0.6205425723832815,0.3208906342480204,2.623746021269172,-9.827509935782532,-15.078933304192644,2.274827714380696,5.251423368410115,-5.667802700448263,-9.874669556309652,4.2068668558613895,255.3950235810701,14.545378303000511,-0.5930261172111867,0.6571888806361653
23.498764038085938,7.220827102661133,0.1807529926300048,85.93204498291016,0.9737409949302672,0.3072723237117776,7.0,0.0,307.70462287104624,513.6796431467963,269.72911597729126,851.101703163017,3099.554582319546,4105.974371451745,4121.963828061638,4403.706407137065,1940.7266828872675,832.8397404703973,0.8763260463721411,0.6566984264603352,0.6628865889259451,0.35854045273789,2.8044097067816405,-5.120839168836752,-11.282087678945691,2.437220787680129,6.16124851010894,-8.109038161390853,-12.709745798680856,4.600707637289997,256.2087591240876,21.515532828189453,-0.2093000776011355,-0.9776849988359751
29.890443801879883,7.217320919036865,1.0938810110092163,97.783279,0.9811210036277772,0.2414510642869303,7.0,0.0,263.81933181965616,437.0765488160881,243.06016866688293,754.0317872202402,2775.2059682127806,3725.211644502109,3586.16590982809,4012.455400583848,1680.4528057087252,719.2384041518001,0.8729007900038784,0.6520130428267098,0.6655417531726661,0.3614121943323998,2.729845698539353,-4.2825345427823365,-11.062584992810605,3.078931552816049,6.78005045002827,-10.194049782402054,-13.295900760702818,3.101850978300772,278.2708400908206,27.369220712607923,-0.2756532878866624,-0.9582611329598416
17.470142364501953,7.227356910705566,8.735071182250977,74.031052,0.9606689810752868,0.4136739750567303,4.0,0.0,644.777741673436,972.2816409423232,769.1815597075548,1445.2350934199833,2788.2085296506907,3202.81015434606,3296.2600324939067,3430.21705930138,2487.426969943136,1410.999837530463,0.6231477050011557,0.391347627445975,0.4018650232130087,0.1406532761375815,2.1258495665979,-11.046393822611968,-17.98250935592298,2.281395751887512,6.9361155333110105,-8.145623094336344,-14.244463719057444,6.0988406247211016,188.0570268074736,9.104477491773888,0.8252867706975372,0.5476175018971406
90.24872589111328,7.210114002227783,25.81466293334961,193.740005,0.9633520245552064,0.0798907025039258,4.0,82.0,237.61013787510137,449.9712084347122,223.9366585563666,822.565612327656,2761.2403892944044,3411.095539334956,3355.400405515005,3652.9826439578273,1704.8982157339824,696.2321167883213,0.8737773687657459,0.6039594645275919,0.6544303572687751,0.3238635977890901,2.6879856085693,-10.149895982215073,-16.238331496419214,2.980697877819189,6.088435514204132,-2.150049127776924,-5.686070886668357,3.536021758891434,421.70137875101386,14.10461296721967,-0.5267931247996978,0.6524138717719935
75.66213989257812,7.211510181427002,18.30857276916504,172.080505,0.95872700214386,0.0953107443289488,4.0,63.0,198.91366146848603,365.2755035737492,210.41219948018187,655.8151397011047,2344.6550519818065,2950.1067251462,2931.5696068875886,3256.4309616634177,1465.0206302794022,607.7850877192982,0.8657089834037937,0.6339189792254407,0.6562037170375438,0.3332288178436661,2.518704652143827,-6.708823804229053,-13.141010279540764,2.2085375991980585,6.432186475311711,-3.149662384831577,-9.757119801407296,6.607457416575718,380.3536387264457,11.821302819205536,-0.3637709136324523,-0.878606918929112
115.746552,7.2081170082092285,40.19622421264648,230.343292,0.9747729897499084,0.0622744661434328,4.0,62.0,267.02710598928746,489.6552507709787,303.9619379970784,867.7961369907483,2870.497808797272,3546.23470215874,3543.058026294432,3836.594140561597,1936.4690796948544,906.5493426391818,0.8408406233702808,0.6067988884455467,0.5910152430156543,0.2908253687718423,2.40445046731582,-9.637001867634488,-15.729376451984333,2.4769589386813373,6.092374584349846,-7.474600259676865,-12.707225746707785,5.232625487030918,297.1748092842071,14.28037519567954,-0.7509504819914983,0.4356774061977834
68.95269012451172,7.2134480476379395,15.082612991333008,161.898056,0.9557650089263916,0.1046129370975273,4.0,59.0,225.20944192083056,335.579980532122,200.7482154445165,578.8074302401037,2125.888384166126,2797.713659961064,2815.619078520441,3095.9858857884487,1534.0919857235558,650.3377676833225,0.8665010736864458,0.6579588561996386,0.6235015204240963,0.2932432480196383,2.822568897139677,-8.347297726056839,-14.555161745223302,2.00324048868328,6.207864019166457,-6.350860629043805,-10.446655500603336,4.095794871559527,302.25389357560016,8.313553218018457,0.7303753930153578,-0.4141352477966344
