분기,수종_구분,적재량,거리구간,운반비_원_per_m3,source_pdf
2025Q3,침엽수,25톤,50-100km,17500,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,100-150km,25200,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,150-200km,28500,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,200-250km,30700,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,250-300km,34900,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,300km 이상,36200,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,5톤,50km 이내,14300,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,5톤,50-100km,17300,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,5톤,100-150km,24500,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,5톤,150-200km,28200,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,5톤,200-250km,28800,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,5톤,250-300km,32500,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,5톤,300km 이상,32900,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,25톤,50km 이내,18400,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,25톤,50-100km,19100,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,25톤,100-150km,28400,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,25톤,150-200km,31300,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,25톤,200-250km,33200,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,25톤,250-300km,36400,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,25톤,300km 이상,41900,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,5톤,50km 이내,17300,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,5톤,50-100km,18500,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,5톤,100-150km,28000,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,5톤,150-200km,29100,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,5톤,200-250km,30600,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,5톤,250-300km,33600,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,5톤,300km 이상,37400,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,25톤,50km 이내,14600,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,25톤,50-100km,17500,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,25톤,100-150km,25200,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,25톤,150-200km,28500,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,25톤,200-250km,30700,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,25톤,250-300km,34900,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,25톤,300km 이상,36200,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,5톤,50km 이내,14300,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,5톤,50-100km,17300,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,5톤,100-150km,24500,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,5톤,150-200km,28200,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,5톤,200-250km,28800,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,5톤,250-300km,32500,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,침엽수,5톤,300km 이상,32900,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,25톤,50km 이내,18400,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,25톤,50-100km,19100,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,25톤,100-150km,28400,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,25톤,150-200km,31300,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,25톤,200-250km,33200,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,25톤,250-300km,36400,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,25톤,300km 이상,41900,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,5톤,50km 이내,17300,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,5톤,50-100km,18500,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,5톤,100-150km,28000,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,5톤,150-200km,29100,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,5톤,200-250km,30600,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,5톤,250-300km,33600,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,5톤,300km 이상,37400,2025년_4분기_원목시장가격조사_보고서.pdf
