stn_id,sigun,year,temp_anom,prcp_anom,gdd_anom,vpd_anom
131,청주,2011,-0.2527394016518194,573.3166666666666,46.07999999999993,0.0339826411391273
131,청주,2012,-0.3739011652568802,155.3166666666666,43.779999999999745,0.1686331848797129
131,청주,2013,0.22698662574544137,8.416666666666742,129.27999999999975,-0.0711766868473045
131,청주,2014,0.8193153928687291,-318.58333333333326,216.87999999999965,0.140532808974269
131,청주,2016,0.7905797090600597,-294.2833333333333,276.5799999999999,0.6169204057746465
131,청주,2017,0.39191813259475694,68.91666666666674,152.77999999999975,0.17776915738749088
131,청주,2018,0.5012332010879064,149.3166666666666,253.77999999999975,0.768783802559595
131,청주,2019,1.1554797764303721,-375.58333333333326,263.17999999999984,0.3152343539015392
131,청주,2020,0.8810168675300059,126.3166666666666,127.77999999999975,0.08315277914190289
127,충주,2011,-0.3191021225075801,858.7966666666669,34.59999999999991,0.16561729671417624
127,충주,2012,-0.22959093155017385,75.79666666666662,106.09999999999991,0.3030336730719474
127,충주,2013,0.07898006927324275,-111.90333333333342,101.69999999999982,-0.01969140372267386
127,충주,2014,0.49350061721844796,-314.9033333333333,133.9000000000001,0.24879326365570953
127,충주,2016,1.159480106701194,-297.4033333333333,374.5999999999999,0.3630788937145042
127,충주,2017,0.3387060966705029,-141.60333333333324,138.69999999999982,0.1937674842570316
127,충주,2018,0.28018058109019073,134.59666666666658,181.0,0.6068774204155576
127,충주,2019,0.6050074665335163,-419.00333333333333,97.40000000000009,0.056241064103233374
127,충주,2020,0.3736877569744159,231.99666666666667,-22.199999999999818,-0.2829450520723684
221,제천,2011,-0.5509651046735033,871.1666666666667,-17.283333333333303,-0.05125508620084962
221,제천,2012,-0.6566811013798439,21.966666666666697,8.716666666666697,0.08094987128717568
221,제천,2013,-0.1432938717967911,77.76666666666665,69.3166666666666,-0.18281714399937954
221,제천,2014,0.2421855802580044,-445.73333333333323,58.516666666666424,0.06480551014620817
221,제천,2016,1.0042478603687925,-251.43333333333317,319.1166666666668,0.2091420815745404
221,제천,2017,0.2117746213538947,-288.6333333333332,122.51666666666642,0.282512593594493
221,제천,2018,0.1817053755312248,49.9666666666667,142.41666666666652,0.535920580607208
221,제천,2019,0.8399937994360869,-516.3333333333333,160.3166666666666,0.20372307194134187
221,제천,2020,0.6304773685655132,192.4666666666667,11.716666666666697,-0.12158556933380282
226,보은,2011,-0.441437956932905,505.4000000000001,16.293333333333067,-0.03478705986100161
226,보은,2012,-0.5373508246625249,217.0,33.29333333333307,0.12582719444767654
226,보은,2013,0.015274371834218314,-179.39999999999986,83.09333333333325,-0.3795588342297289
226,보은,2014,0.3144524540259983,-216.0999999999999,96.49333333333334,-0.007121710561456496
226,보은,2016,1.0828677545724474,-13.700000000000045,354.99333333333334,0.5227975681552757
226,보은,2017,0.34321957731367014,17.5,141.69333333333316,0.46615573448269765
226,보은,2018,0.48047985128627424,104.20000000000005,242.49333333333334,0.28649894492551975
226,보은,2019,0.9676031389575073,-259.0999999999999,203.49333333333334,-0.014875205925204416
226,보은,2020,0.5019934376325583,463.5,-9.00666666666666,-0.3062976522023815
135,추풍령,2011,-0.2947063088993236,206.48000000000002,10.239999999999782,-0.22663848612728787
135,추풍령,2012,-0.6749353679606322,270.48,-43.36000000000013,-0.03456516649622432
135,추풍령,2013,-0.017172062323981052,-274.7199999999999,63.039999999999964,0.004424000549774654
135,추풍령,2014,-0.09662411711850183,-58.919999999999845,-14.16000000000031,0.42749299922033446
135,추풍령,2016,0.6011841020595803,-48.22000000000003,211.9399999999996,0.096710655139022
135,추풍령,2017,0.11515670479930407,-273.52,78.73999999999978,0.515679334898179
135,추풍령,2018,0.09844437603218203,108.88000000000011,144.9399999999996,0.26317196846744495
135,추풍령,2019,0.6058416363061543,-31.2199999999998,99.9399999999996,0.4319599514688388
135,추풍령,2020,0.17854598675023148,358.68000000000006,-91.0600000000004,-0.020263478897200038
