sigun,stn_id,scenario,temp,prcp,gdd,vpd
청주,131,ssp245,1.3859579085643445,74.84228185170363,366.7569613342275,0.09697390412011622
충주,127,ssp245,1.3940260042684631,77.01936326722716,357.91666008504114,0.09634892678557234
제천,221,ssp245,1.4040931801130152,77.1707751610073,352.197199300129,0.09288008532089105
보은,226,ssp245,1.3663152192626782,70.95243274093082,360.367156341552,0.08667137222628869
추풍령,135,ssp245,1.3515285328657278,68.11347663282304,339.01975374348876,0.07593115291160138
청주,131,ssp585,1.6530833855940634,111.02349761056303,441.0810967915848,0.13101403151008517
충주,127,ssp585,1.6663438262441246,117.41376329128715,433.01013082885646,0.12612804549052728
제천,221,ssp585,1.6791165118930735,118.06591266727351,427.4528956705716,0.12017013491330919
보은,226,ssp585,1.6334186608191417,104.3733261104342,434.67156698608335,0.12497057713898832
추풍령,135,ssp585,1.6172566359593616,99.87916261051437,411.33175748697795,0.10983281713002409
